decision_seed_id	dossier_order	sample_review_key	sample_id	autonomous_seed_status	accepted_label_status	can_enter_training_now	autonomous_decision	training_gate	proposed_training_use	geometry_action	seed_geometry_role	review_risk	next_qgis_action	dataset	final_split	pretriage_group	pretriage_decision	pretriage_confidence	suggested_taxonomy	label_class	name	municipality	parish	country	longitude	latitude	fusion_probability	fusion_rank	max_safety_rank	specialist_probability	specialist_rank	specialist_mean_rank	negative_type	morphology_proxy	visual_card	review_buffer_m	source_queues	source_lanes	source_review_ids	rationale
p0-seed-011	11	wl-neg-neg-es-pba-24843	wl-neg-neg-es-pba-24843	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)	ES	-8.096261067263583	43.625262213712574	0.44129649	56	51	0.57147575	51	54	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-11-mamoa-de-coto-da-fraga-2.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0008	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-012	12	wl-neg-neg-es-pba-24332	wl-neg-neg-es-pba-24332	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa do Monte de Pena Moura 3	Valdoviño	Valdoviño (Santaia)	ES	-8.128269502838254	43.57801699616052	0.45368295	55	66	0.56808626	52	53	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-12-mamoa-do-monte-de-pena-moura-3.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0007	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-013	13	wl-neg-neg-es-pba-14259	wl-neg-neg-es-pba-14259	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa do Monte dos Niños 05	Narón	Sedes (Santo Estevo)	ES	-8.123356750541028	43.56133110666142	0.57631836	38	42	0.53494045	55	48	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-13-mamoa-do-monte-dos-ninos-05.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0004	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-014	14	wl-neg-neg-es-pba-20406	wl-neg-neg-es-pba-20406	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)	ES	-8.045691218805501	43.56779596584658	0.47516969	53	63	0.51674851	58	56	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-14-mamoa-de-bardaos.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0006	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-015	15	wl-neg-neg-es-pba-24849	wl-neg-neg-es-pba-24849	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Rioboo 1/Mámoa de Canteiros 1	Valdoviño	Meirás (San Vicente)	ES	-8.20129105753339	43.572014263769375	0.57929205	37	41	0.51304754	59	49	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-15-mamoa-de-rioboo-1-mamoa-de-canteiros-1.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0003	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-016	16	wl-neg-neg-es-pba-10071	wl-neg-neg-es-pba-10071	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa dos Montes de Brión III-8	Ferrol	Doniños (San Román)	ES	-8.296676405945123	43.484912722428156	0.40880619	60	67	0.49869196	60	58	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-16-mamoa-dos-montes-de-brion-iii-8.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0010	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-017	17	wl-neg-neg-es-pba-10102	wl-neg-neg-es-pba-10102	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa dos Montes de Brión IV-7	Ferrol	Brión (Santa María)	ES	-8.291693642023777	43.477408326571705	0.35708707	71	85	0.47058642	63	63	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-17-mamoa-dos-montes-de-brion-iv-7.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0018	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-018	18	wl-neg-neg-es-pba-10131	wl-neg-neg-es-pba-10131	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa dos Montes de Brión VI-1	Ferrol	Brión (Santa María)	ES	-8.271862778359397	43.47905394680505	0.38900115	63	76	0.46133309	64	61	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-18-mamoa-dos-montes-de-brion-vi-1.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0011	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-019	19	wl-neg-neg-es-pba-10008	wl-neg-neg-es-pba-10008	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa dos Montes de Brión I-10	Ferrol	Brión (Santa María)	ES	-8.28682938315165	43.480979979060415	0.32286611	79	87	0.45650043	65	70	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-19-mamoa-dos-montes-de-brion-i-10.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0022	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-020	20	wl-neg-neg-es-pba-14223	wl-neg-neg-es-pba-14223	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)	ES	-8.2207321781512	43.5237064246763	0.55826249	44	48	0.44488268	66	55	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-20-mamoa-de-muino-do-vento.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0005	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-021	21	wl-neg-neg-es-pba-24845	wl-neg-neg-es-pba-24845	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Loira	Valdoviño	Loira (San Pedro)	ES	-8.096451014104767	43.60704957345368	0.35506574	74	89	0.41277697	71	72	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-21-mamoa-de-loira.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0019	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-022	22	wl-neg-neg-es-pba-9981	wl-neg-neg-es-pba-9981	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Mougá 6	Ferrol	Doniños (San Román)	ES	-8.270074776662353	43.50536423132985	0.38321919	64	59	0.39108186	75	71	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-22-mamoa-de-mouga-6.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0012	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-023	23	wl-neg-neg-es-pba-10014	wl-neg-neg-es-pba-10014	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa dos Montes de Brión I-7	Ferrol	Brión (Santa María)	ES	-8.285559472887922	43.4827670044632	0.37839992	66	79	0.34653576	82	75	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-23-mamoa-dos-montes-de-brion-i-7.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0013	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-024	24	wl-neg-neg-es-pba-9983	wl-neg-neg-es-pba-9983	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa dos Montes de Brión I-1	Ferrol	Doniños (San Román)	ES	-8.289157188370986	43.48425883479058	0.36018193	70	39	0.33566896	84	80	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-24-mamoa-dos-montes-de-brion-i-1.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0017	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-025	25	wl-neg-neg-es-pba-10013	wl-neg-neg-es-pba-10013	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa dos Montes de Brión I-6	Ferrol	Brión (Santa María)	ES	-8.28604813778096	43.48276680801758	0.30532703	81	100	0.28156299	92	89	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-25-mamoa-dos-montes-de-brion-i-6.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0024	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-026	26	wl-neg-neg-es-pba-20435	wl-neg-neg-es-pba-20435	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Pena Escrita	San Sadurniño	Lamas (San Xiao)	ES	-8.033552435280814	43.564559061061054	0.36044579	69	84	0.20837475	109	91	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-26-mamoa-de-pena-escrita.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0016	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-027	27	wl-neg-neg-es-pba-24850	wl-neg-neg-es-pba-24850	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Rioboo 2/Mámoa de Canteiros 2/M moas do Val	Valdoviño	Meirás (San Vicente)	ES	-8.199558404399172	43.572796295406846	0.32378712	78	98	0.20227197	110	96	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-27-mamoa-de-rioboo-2-mamoa-de-canteiros-2-m-moas-do-val.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0021	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-028	28	wl-neg-neg-es-pba-9974	wl-neg-neg-es-pba-9974	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)	ES	-8.197523939371287	43.52116200826383	0.37433017	67	81	0.16740709	115	93	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-28-mamoa-de-leixa-2.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0014	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
