dossier_order	pretriage_order	sample_review_key	sample_id	duplicate_rows_in_dossier	source_review_ids	source_queues	source_lanes	source_queue_orders	pretriage_group	pretriage_group_label	pretriage_decision	pretriage_confidence	training_use_after_review	do_not_use_as	review_status	review_notes	final_taxonomy	final_decision	dataset	final_split	label_class	label_role	suggested_taxonomy	name	municipality	parish	country	longitude	latitude	fusion_probability	fusion_rank	max_safety_rank	archetype_only_rank	specialist_probability	specialist_rank	specialist_mean_rank	rank_delta_fusion_to_max	negative_type	morphology_proxy	rgb_status	relief_status	visual_card	group_sheet	full_sheet	visual_reading
11	11	wl-neg-neg-es-pba-24843	wl-neg-neg-es-pba-24843	1	err-review-0008	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#8	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Coto da Fraga 2	Valdoviño	Pantín (Santiago)	ES	-8.096261067263583	43.625262213712574	0.44129649	56	51	26	0.57147575	51	54	5	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-11-mamoa-de-coto-da-fraga-2.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
12	12	wl-neg-neg-es-pba-24332	wl-neg-neg-es-pba-24332	1	err-review-0007	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#7	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa do Monte de Pena Moura 3	Valdoviño	Valdoviño (Santaia)	ES	-8.128269502838254	43.57801699616052	0.45368295	55	66	51	0.56808626	52	53	-11	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-12-mamoa-do-monte-de-pena-moura-3.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
13	13	wl-neg-neg-es-pba-14259	wl-neg-neg-es-pba-14259	1	err-review-0004	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#4	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa do Monte dos Niños 05	Narón	Sedes (Santo Estevo)	ES	-8.123356750541028	43.56133110666142	0.57631836	38	42	58	0.53494045	55	48	-4	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-13-mamoa-do-monte-dos-ninos-05.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
14	14	wl-neg-neg-es-pba-20406	wl-neg-neg-es-pba-20406	1	err-review-0006	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#6	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Bardaos	San Sadurniño	Bardaos (Santa María)	ES	-8.045691218805501	43.56779596584658	0.47516969	53	63	53	0.51674851	58	56	-10	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-14-mamoa-de-bardaos.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
15	15	wl-neg-neg-es-pba-24849	wl-neg-neg-es-pba-24849	1	err-review-0003	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#3	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Rioboo 1/Mámoa de Canteiros 1	Valdoviño	Meirás (San Vicente)	ES	-8.20129105753339	43.572014263769375	0.57929205	37	41	112	0.51304754	59	49	-4	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-15-mamoa-de-rioboo-1-mamoa-de-canteiros-1.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
16	16	wl-neg-neg-es-pba-10071	wl-neg-neg-es-pba-10071	1	err-review-0010	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#10	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa dos Montes de Brión III-8	Ferrol	Doniños (San Román)	ES	-8.296676405945123	43.484912722428156	0.40880619	60	67	40	0.49869196	60	58	-7	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-16-mamoa-dos-montes-de-brion-iii-8.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
17	17	wl-neg-neg-es-pba-10102	wl-neg-neg-es-pba-10102	1	err-review-0018	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#18	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa dos Montes de Brión IV-7	Ferrol	Brión (Santa María)	ES	-8.291693642023777	43.477408326571705	0.35708707	71	85	81	0.47058642	63	63	-14	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-17-mamoa-dos-montes-de-brion-iv-7.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
18	18	wl-neg-neg-es-pba-10131	wl-neg-neg-es-pba-10131	1	err-review-0011	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#11	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa dos Montes de Brión VI-1	Ferrol	Brión (Santa María)	ES	-8.271862778359397	43.47905394680505	0.38900115	63	76	57	0.46133309	64	61	-13	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-18-mamoa-dos-montes-de-brion-vi-1.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
19	19	wl-neg-neg-es-pba-10008	wl-neg-neg-es-pba-10008	1	err-review-0022	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#23	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa dos Montes de Brión I-10	Ferrol	Brión (Santa María)	ES	-8.28682938315165	43.480979979060415	0.32286611	79	87	60	0.45650043	65	70	-8	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-19-mamoa-dos-montes-de-brion-i-10.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
20	20	wl-neg-neg-es-pba-14223	wl-neg-neg-es-pba-14223	1	err-review-0005	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#5	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Muíño do Vento	Narón	Trasancos (San Mateo)	ES	-8.2207321781512	43.5237064246763	0.55826249	44	48	84	0.44488268	66	55	-4	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-20-mamoa-de-muino-do-vento.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
21	21	wl-neg-neg-es-pba-24845	wl-neg-neg-es-pba-24845	1	err-review-0019	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#20	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Loira	Valdoviño	Loira (San Pedro)	ES	-8.096451014104767	43.60704957345368	0.35506574	74	89	71	0.41277697	71	72	-15	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-21-mamoa-de-loira.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
22	22	wl-neg-neg-es-pba-9981	wl-neg-neg-es-pba-9981	1	err-review-0012	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#12	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Mougá 6	Ferrol	Doniños (San Román)	ES	-8.270074776662353	43.50536423132985	0.38321919	64	59	36	0.39108186	75	71	5	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-22-mamoa-de-mouga-6.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
23	23	wl-neg-neg-es-pba-10014	wl-neg-neg-es-pba-10014	1	err-review-0013	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#13	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa dos Montes de Brión I-7	Ferrol	Brión (Santa María)	ES	-8.285559472887922	43.4827670044632	0.37839992	66	79	65	0.34653576	82	75	-13	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-23-mamoa-dos-montes-de-brion-i-7.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
24	24	wl-neg-neg-es-pba-9983	wl-neg-neg-es-pba-9983	1	err-review-0017	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#17	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa dos Montes de Brión I-1	Ferrol	Doniños (San Román)	ES	-8.289157188370986	43.48425883479058	0.36018193	70	39	23	0.33566896	84	80	31	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-24-mamoa-dos-montes-de-brion-i-1.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
25	25	wl-neg-neg-es-pba-10013	wl-neg-neg-es-pba-10013	1	err-review-0024	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#25	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa dos Montes de Brión I-6	Ferrol	Brión (Santa María)	ES	-8.28604813778096	43.48276680801758	0.30532703	81	100	73	0.28156299	92	89	-19	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-25-mamoa-dos-montes-de-brion-i-6.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
26	26	wl-neg-neg-es-pba-20435	wl-neg-neg-es-pba-20435	1	err-review-0016	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#16	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Pena Escrita	San Sadurniño	Lamas (San Xiao)	ES	-8.033552435280814	43.564559061061054	0.36044579	69	84	151	0.20837475	109	91	-15	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-26-mamoa-de-pena-escrita.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
27	27	wl-neg-neg-es-pba-24850	wl-neg-neg-es-pba-24850	1	err-review-0021	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#22	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Rioboo 2/Mámoa de Canteiros 2/M moas do Val	Valdoviño	Meirás (San Vicente)	ES	-8.199558404399172	43.572796295406846	0.32378712	78	98	202	0.20227197	110	96	-20	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-27-mamoa-de-rioboo-2-mamoa-de-canteiros-2-m-moas-do-val.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
28	28	wl-neg-neg-es-pba-9974	wl-neg-neg-es-pba-9974	1	err-review-0014	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#14	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Leixa 2	Ferrol	Leixa (San Pedro)	ES	-8.197523939371287	43.52116200826383	0.37433017	67	81	144	0.16740709	115	93	-14	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-28-mamoa-de-leixa-2.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
29	29	wl-neg-neg-es-pba-14222	wl-neg-neg-es-pba-14222	1	err-review-0015	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#15	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Leixa 3/Mámoa de Trasancos	Narón	Trasancos (San Mateo)	ES	-8.198459950939915	43.52249373946746	0.37254851	68	82	96	0.13321068	133	98	-14	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-29-mamoa-de-leixa-3-mamoa-de-trasancos.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
